condition,metric,round_index,seed_count,observed_seed_count,missing_seed_count,mean,median,sample_standard_deviation,minimum,maximum
neutral,negative_emotion,1,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,negative_emotion,2,10,10,0,0.3,0.0,0.9486832980505138,0.0,3.0
neutral,negative_emotion,3,10,10,0,0.6,0.0,0.8432740427115678,0.0,2.0
neutral,negative_emotion,4,10,10,0,1.3,1.5,1.0593499054713802,0.0,3.0
neutral,negative_emotion,5,10,10,0,1.8,1.5,1.6865480854231356,0.0,4.0
neutral,negative_emotion,6,10,10,0,1.8,2.0,1.2292725943057183,0.0,4.0
neutral,negative_emotion,7,10,10,0,2.1,2.0,1.8529256146249728,0.0,5.0
neutral,negative_emotion,8,10,10,0,3.6,4.0,1.5776212754932308,2.0,6.0
neutral,negative_emotion,9,10,10,0,3.3,4.0,1.4181364924121764,0.0,5.0
neutral,negative_emotion,10,10,10,0,3.5,3.0,1.5811388300841898,2.0,6.0
neutral,negative_emotion,11,10,10,0,3.3,2.5,1.766981104093143,1.0,6.0
neutral,negative_emotion,12,10,10,0,3.5,3.0,0.97182531580755,2.0,5.0
neutral,negative_emotion,13,10,10,0,3.9,4.0,0.9944289260117531,3.0,6.0
neutral,negative_emotion,14,10,10,0,3.5,3.0,1.2692955176439846,2.0,6.0
neutral,negative_emotion,15,10,10,0,3.9,4.0,1.66332999331662,2.0,6.0
neutral,frustration,1,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,frustration,2,10,10,0,0.3,0.0,0.9486832980505138,0.0,3.0
neutral,frustration,3,10,10,0,0.6,0.0,0.8432740427115678,0.0,2.0
neutral,frustration,4,10,10,0,1.4,1.5,1.1737877907772674,0.0,3.0
neutral,frustration,5,10,10,0,1.8,1.5,1.6865480854231356,0.0,4.0
neutral,frustration,6,10,10,0,2.1,2.0,1.3703203194062976,0.0,4.0
neutral,frustration,7,10,10,0,2.4,2.0,1.9550504398153574,0.0,5.0
neutral,frustration,8,10,10,0,3.8,4.0,1.8737959096740262,1.0,7.0
neutral,frustration,9,10,10,0,3.8,4.0,1.5491933384829668,0.0,6.0
